País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"Guatemala	";El alma en pena La Llorona;El perro del diablo El Cadejo;El vaquero sin cabeza El Sombrerón;La mujer fantasmal La Siguanaba;El espíritu de la naturaleza El Duende;La ciudad maya perdida de Tikal;Las tumbas de los reyes de El Mirador;El jade sagrado de la civilización olmeca;El libro sagrado Popol Vuh;El lago mágico de Atitlán;¿Qué volcán está en Guatemala?; ¿Qué ave colorida es símbolo del país?; ¿Qué fruta tropical crece allí?; ¿Qué lago famoso hay en Guatemala?; ¿Qué selva cubre parte del país?;Pacaya; Quetzal; Plátano; Atitlán; Selva maya;Etna; Águila; Manzana; Titicaca; Desierto;Vesubio; Pato; Pera; Victoria; Sabana;Su capital es Ciudad de Guatemala; Allí crece el cacao y el café; Tienen volcanes activos; Sus trajes mayas son muy coloridos; Hay un lago famoso llamado Atitlán;No has podido salir del país porque estás esperando a que el volcán de Fuego termine su espectáculo de fuegos artificiales.; No has podido salir del país porque te has perdido en el mercado de Chichicastenango y ahora vendes textiles.; No has podido salir del país porque un quetzal ha hecho un nido en tu mochila.; No has podido salir del país porque te han ofrecido una taza de café tan buena que has decidido comprar la plantación.; No has podido salir del país porque estás ayudando a tejer una alfombra de serrín para una procesión.
"Guinea	";La serpiente de río Ninki Nanka;El bailarín enmascarado Kankurang;El genio Jinn;El espíritu Bori;El espíritu Zar;Las minas de bauxita de Sangaredi;La Dama de Malí de piedra;El macizo sagrado de Futa Yallon;La música mágica de los Balafon;El legado del Imperio de Malí;¿Qué animal grande vive en Guinea?; ¿Qué río nace en Guinea?; ¿Qué fruto tropical crece allí?; ¿Qué ave colorida se ve en sus selvas?; ¿Qué mineral se extrae en Guinea?;Elefante; Níger; Mango; Papagayo; Bauxita;León; Amazonas; Manzana; Cuervo; Oro;Tigre; Nilo; Pera; Águila; Plata;Su capital es Conakri; Tiene selvas con chimpancés; Sus tambores se llaman djembe; En las fiestas se baila mucho; Tienen minas de oro y diamantes;No has podido salir del país porque te has unido a un grupo de percusión de djembe y estáis a punto de haceros famosos.; No has podido salir del país porque estás esperando a que una tropa de chimpancés termine su reunión en la carretera.; No has podido salir del país porque el Parque Nacional del Alto Níger ha sido declarado zona libre de estrés y no te dejan salir.; No has podido salir del país porque un griot te está cantando la genealogía completa de la región.; No has podido salir del país porque la Gran Mezquita de Conakry ha organizado un concurso de caligrafía.
"Guinea Ecuatorial	";La diosa del agua Mami Wata;La criatura del bosque Biloko;El hombre leopardo N'yamala;El murciélago gigante Olitiau;El búfalo con cuernos de reptil Ngoubou;El oro negro del Golfo de Guinea;El santuario de primates del Parque Nacional de Monte Alén;La isla volcánica de Bioko;La ciudad colonial de Malabo;La cultura guerrera del pueblo Fang;¿Qué animal vive en las selvas de Guinea Ecuatorial?; ¿Qué mar baña el país?; ¿Qué árbol da cacao?; ¿Qué ave tropical se ve allí?; ¿Qué isla pertenece al país?;Gorila; Atlántico; Cacaotero; Loro; Bioko;León; Mediterráneo; Pino; Águila; Canarias;Tigre; Báltico; Olivo; Cisne; Malvinas;Su capital es Malabo; Es el único país africano donde se habla español; Tiene islas como Bioko; Sus selvas tienen monos y aves; Allí se celebran fiestas con máscaras;No has podido salir del país porque una mariposa Goliat; la más grande del mundo; ha aterrizado en tu pasaporte.; No has podido salir del país porque estás esperando a que construyan un puente desde la isla de Bioko al continente.; No has podido salir del país porque te han invitado a una fiesta en una plataforma petrolífera y el helicóptero no vuelve hasta la semana que viene.
"Guinea-Bisáu	";La serpiente de río Ninki Nanka;El bailarín enmascarado Kankurang;El genio Jinn;El espíritu Bori;El espíritu Zar;El archipiélago sagrado de las Bijagós;La Fortaleza de San José de Amura;El Carnaval de los espíritus de Bissau;El legado del libertador Amílcar Cabral;El laberinto de manglares;¿Qué animal vive en los ríos de Guinea-Bisáu?; ¿Qué árbol da anacardos?; ¿Qué mar rodea el país?; ¿Qué ave canta al amanecer?; ¿Qué fruto tropical crece allí?;Hipopótamo; Anacardo; Atlántico; Gallo; Papaya;León; Olivo; Mediterráneo; Águila; Manzana;Tigre; Pino; Adriático; Pato; Pera;Su capital es Bisáu; Es un país pequeño en la costa; Sus barcos de pesca son de colores; Se celebra el carnaval con trajes grandes; Sus bosques tienen hipopótamos;No has podido salir del país porque estás atrapado en un laberinto de islas en el archipiélago de las Bijagós.; No has podido salir del país porque un hipopótamo de agua salada ha decidido que tu barco es su nueva pareja.; No has podido salir del país porque te has unido a una ceremonia animista y ahora eres el espíritu del anacardo.; No has podido salir del país porque el carnaval de Bissau ha bloqueado todas las calles con sus máscaras y bailarines.; No has podido salir del país porque estás esperando el cambio de poder número 37 de esta semana.
"Guyana	";La vieja bruja chupasangre Ol' Higue;El hombre del agua Massacooramaan;El espíritu codicioso Baccoo;El asesino espiritual Kanaima;La sirena del río Wata-Muma;La ciudad perdida de El Dorado;Las cataratas del fin del mundo Kaieteur;El oro de la selva;El bosque encantado de Iwokrama;El sello más caro del mundo;¿Qué cascada famosa está en Guyana?; ¿Qué animal grande vive en la selva?; ¿Qué río cruza el país?; ¿Qué ave colorida vive allí?; ¿Qué mineral se extrae?;Kaieteur; Jaguar; Essequibo; Tucán; Oro;Niágara; León; Amazonas; Cuervo; Plata;Iguazú; Tigre; Nilo; Águila; Hierro;Su capital es Georgetown; Allí hablan inglés; Tiene una catarata altísima llamada Kaieteur; Sus selvas son muy verdes; Hay pueblos que viven junto a los ríos;No has podido salir del país porque estás esperando a que la catarata Kaieteur termine su impresionante caída.; No has podido salir del país porque una anaconda gigante se ha comido el autobús que iba al aeropuerto.; No has podido salir del país porque te has perdido en el dosel de la selva y ahora te comunicas con jaguares.; No has podido salir del país porque estás en medio de un partido de críquet que se ha alargado más de lo previsto.; No has podido salir del país porque tu avión ha sido reclamado por una nutria gigante de río.
"Haití	";El muerto viviente Zonbi;El espíritu del saco Tonton Macoute;El hombre lobo caribeño Loup-garou;El demonio menor Djab;El espíritu maligno Baka;El tesoro hundido del pirata Henry Morgan;La Ciudadela imposible de Laferrière;El Palacio de los 365 arcos de Sans-Souci;El arte mágico del vudú;El fuego de la primera república negra;¿Qué isla comparte Haití?; ¿Qué árbol da cocos allí?; ¿Qué ave tropical vive en Haití?; ¿Qué fruta crece en el país?; ¿Qué mar lo rodea?;La Española; Cocotero; Loro; Plátano; Caribe;Canarias; Pino; Águila; Manzana; Atlántico;Cerdeña; Olivo; Cisne; Pera; Índico;Su capital es Puerto Príncipe; Comparte isla con República Dominicana; Allí nació el vudú; Sus carnavales tienen tambores y bailes; Sufrió un terremoto muy grande en 2010;No has podido salir del país porque un espíritu Loa del vudú ha decidido que eres su nuevo anfitrión.;" No has podido salir del país porque estás atrapado en un ""tap tap"" (autobús decorado) que solo da vueltas en círculo."; No has podido salir del país porque has sido retado a un concurso de pintura naif y vas ganando.; No has podido salir del país porque la Citadelle Laferrière se ha declarado reino independiente y tú eres su primer ciudadano.; No has podido salir del país porque el Baron Samedi ha organizado una fiesta en el cementerio y eres el invitado de honor.
"Honduras	";El espectro del río La Llorona;El perro del infierno El Cadejo;La mujer sucia de la quebrada;El hombre mono El Sisimite;El duende protector de tesoros;La Ciudad Blanca perdida del Dios Mono;Las ruinas mayas de Copán;El oro de los conquistadores en Trujillo;El tesoro de los arrecifes de las Islas de la Bahía;La Escalera de los Jeroglíficos del tiempo;¿Qué arrecife de coral está en Honduras?; ¿Qué ave colorida vive allí?; ¿Qué fruta tropical crece en Honduras?; ¿Qué árbol da café?; ¿Qué mar baña Honduras?;Barrera coral mesoamericana; Guacamayo; Plátano; Cafeto; Caribe;Gran Barrera; Águila; Manzana; Pino; Atlántico;Roatán; Cisne; Pera; Olivo; Índico;Su capital es Tegucigalpa; Allí hay ruinas mayas llamadas Copán; Tiene playas en el Caribe; Sus bosques tienen tucanes y jaguares; Sus mercados venden coloridas artesanías;"No has podido salir del país porque estás esperando a que termine la ""lluvia de peces"" anual de Yoro."; No has podido salir del país porque te has perdido explorando las ruinas mayas de Copán y has descubierto una nueva estela.; No has podido salir del país porque una guacamaya roja ha decidido que tu hombro es su nuevo lugar favorito.; No has podido salir del país porque te has quedado atrapado en un arrecife de coral en las Islas de la Bahía.; No has podido salir del país porque estás negociando la compra de una tonelada de plátanos.
"Hungría	";El diablo magiar Ördög;La bruja húngara Boszorkány;El incubo Lidérc;El dragón eslavo Sárkány;La doncella salvaje Vadleány;La Santa Corona de Hungría;El Tesoro de plata de Seuso;Las Joyas de la Coronación;El conocimiento perdido de la biblioteca de Matías Corvino;El Parlamento a orillas del Danubio;¿Qué río cruza Budapest?; ¿Qué animal vive en sus bosques?; ¿Qué lago famoso hay en Hungría?; ¿Qué árbol crece en el país?; ¿Qué ave vuela en sus cielos?;Danubio; Ciervo; Balatón; Roble; Cigüeña;Amazonas; León; Titicaca; Pino; Águila;Nilo; Tigre; Victoria; Olivo; Cuervo;Su capital es Budapest; El río Danubio pasa por la ciudad; Allí se come goulash; Tienen baños termales calientes; Celebran danzas con botas y sombreros;"No has podido salir del país porque te has quedado atrapado en un ""ruin bar"" y no encuentras la salida."; No has podido salir del país porque estás intentando resolver un Cubo de Rubik gigante que bloquea la puerta de embarque.; No has podido salir del país porque te has relajado tanto en un baño termal que tus músculos se niegan a moverse.; No has podido salir del país porque un jinete magiar te ha retado a un concurso de tiro con arco a caballo.; No has podido salir del país porque estás esperando a que el gulash se enfríe lo suficiente para comerlo.
"India	";El demonio cambiaformas Rakshasa;El espíritu vengativo Vetala;La deidad serpiente N?ga;El fantasma hambriento Pishacha;El espíritu inquieto Bhoot;El diamante maldito Koh-i-Noor;El tesoro de la bóveda prohibida de Padmanabhaswamy;La lágrima de mármol del Taj Mahal ;El Trono del Pavo Real;Las joyas del último Nizam de Hyderabad;¿Qué animal grande vive en India?; ¿Qué río sagrado pasa por India?; ¿Qué montaña alta está en India?; ¿Qué árbol da mangos en India?; ¿Qué ave es símbolo del país?;Tigre; Ganges; Himalaya; Mango; Pavo real;León; Amazonas; Andes; Manzana; Águila;Elefante; Nilo; Alpes; Pera; Cisne;Su capital es Nueva Delhi; Allí está el Taj Mahal; Sus vacas son sagradas; Celebran el festival de colores llamado Holi; Inventaron el yoga;No has podido salir del país porque tu tren tiene un retraso de tres días;" lo cual se considera ""puntual""."; No has podido salir del país porque una vaca sagrada está durmiendo la siesta en la pista de despegue.; No has podido salir del país porque te has unido a un número de baile de Bollywood que ha surgido espontáneamente en la calle.; No has podido salir del país porque sigues regateando el precio de un tuk-tuk desde la semana pasada.
"Indonesia	";La bruja monstruosa Leyak;La reina demonio Rangda;El fantasma amortajado Pocong;El fantasma femenino Kuntilanak;El espíritu gigante Genderuwo;El tesoro del naufragio de Belitung;El oro del reino flotante de Srivijaya;El mandala de piedra de Borobudur;El oro perdido de Yamashita;Restos del eslabón perdido el Hombre de Flores;¿Qué animal grande vive en Sumatra?; ¿Qué isla volcánica pertenece a Indonesia?; ¿Qué fruto tropical crece allí?; ¿Qué ave grande vuela en sus selvas?; ¿Qué mar rodea Indonesia?;Orangután; Krakatoa; Coco; Ave del paraíso; Java;León; Etna; Manzana; Águila; Mediterráneo;Tigre; Vesubio; Pera; Cisne; Atlántico;Su capital es Yakarta; Tiene miles de islas; Allí viven dragones llamados de Komodo; Celebran danzas con máscaras; Hay templos como Borobudur;No has podido salir del país porque un orangután ha robado las llaves del avión y pide un rescate en plátanos.; No has podido salir del país porque el volcán Krakatoa ha estornudado y hay que esperar a que se calme.; No has podido salir del país porque te has quedado atrapado en un atasco de scooters en Yakarta.; No has podido salir del país porque estás esperando a que un dragón de Komodo termine de digerir su almuerzo.; No has podido salir del país porque te has unido a un espectáculo de marionetas de sombras Wayang y ahora eres la estrella.
"Irak	";El demonio necrófago Ghul;El genio del fuego Ifrit;El espíritu del desierto Jinn;El demonio del viento Pazuzu;El toro alado Lamassu;El tesoro perdido de Nimrud;Los Jardines Colgantes de Babilonia;El Código de Hammurabi;La Puerta azul de Ishtar;La cuna de la civilización en Ur;¿Qué dos ríos pasan por Irak?; ¿Qué animal vive en sus desiertos?; ¿Qué palmera da dátiles?; ¿Qué ave migra por Irak?; ¿Qué mineral hay en su suelo?;Tigris y Éufrates; Camello; Palmera datilera; Cigüeña; Petróleo;Amazonas; León; Pino; Águila; Oro;Nilo; Tigre; Olivo; Pato; Plata;Su capital es Bagdad; El río Tigris lo cruza; Allí estaba la antigua ciudad de Babilonia; Tienen palmeras de dátiles; Sus cuentos hablan de “Las mil y una noches”;No has podido salir del país porque estás ayudando a un arqueólogo a descifrar una tablilla cuneiforme que parece ser una receta de kebab.; No has podido salir del país porque te has perdido en el bazar de Bagdad y ahora eres un comerciante de alfombras.; No has podido salir del país porque estás esperando a que se reconstruya la Torre de Babel para poder ver las vistas.; No has podido salir del país porque el genio de la lámpara que encontraste solo concede deseos relacionados con más hummus.; No has podido salir del país porque te has unido a una lectura de poesía en una casa de té y el ambiente es demasiado bueno.
